"ENV_ID","ENV_NAME","ENV_DESC"
11,"Large City","Principal City  Population Greater Than 250000"
12,"Midsize City","Principal City Population 100000 to 250000"
13,"Small City","Principal City Population Less Than 100000"
21,"Large Suburb","Outside Principal City, In Urbanized Area Population Greater Than 250000"
22,"Midsize Suburb","Outside Principal City, In Urbanized Area, Population 100000 to 250000"
23,"Small Suburb","Outside Principal City, In Urbanized Area, Population Less Than 100000"
31,"Fringe Town","Urban Cluster up to 10 Miles From an Urbanized area"
32,"Distant Town","Urban Cluster 10 Miles to 35 Miles From an Urbanized area"
33,"Remote Town","Urban Cluster Greater Than  35 Miles From an Urbanized area"
41,"Fringe Rural","Rural Territory up to 5 miles From an Urbanized Area or Up to 2.5 miles from an Urban Cluster"
42,"Distant Rural","Rural Territory More than 5 Miles but up to 25 Miles From an Urbanized Area or More Than 2.5 and up to 10 miles From an Urban Cluster"
43,"Remote Rural","Rural Territory More than 25 miles from an Urbanized Area and More than 10 miles from an Urban Cluster"
